_id,latLng,name,city,state,country,updatedAt
hS7beVZPBJ,"33.4580349,-111.710462",Apache Wells Country Club,Mesa,Arizona,US,2024-02-11T05:00:00.000Z
oop4sbrPgg,"42.0154571,-76.1682052",Apalachin Golf Course,Apalachin,New York,US,2024-02-11T05:00:00.000Z
3FCcQtoqbp,"27.7649163,-82.4145037",Apollo Beach Golf Club,Apollo Beach,Florida,US,2024-02-11T05:00:00.000Z
5EE38s7ldE,"40.6080572,-79.4981066",Apollo Elks Golf Club,Apollo,Pennsylvania,US,2024-02-11T05:00:00.000Z
eBUa2Us4ur,"46.81083669,-90.8471984",Apostle Highlands Golf Course,Bayfield,Wisconsin,US,2024-02-11T05:00:00.000Z
02lJI8LHNS,"46.80737219,-100.651207",Apple Creek Country Club,Bismarck,North Dakota,US,2024-02-11T05:00:00.000Z
mfVgEB88ID,"41.7191038,-74.049013",Apple Greens Golf Course,Highland,New York,US,2024-02-11T05:00:00.000Z
9IJvpUl8Ih,"42.9193916,-70.9780196",Apple Hill Golf Course,East Kingston,New Hampshire,US,2024-02-11T05:00:00.000Z
irerDeEVI3,"43.4710093,-84.1061692",Apple Mountain,Freeland,Michigan,US,2024-02-11T05:00:00.000Z
i8q8vKHyhP,"40.8079487,-75.0242506",Apple Mountain Golf & Country,Belvidere,New Jersey,US,2024-02-11T05:00:00.000Z
Y1jOXoy7vE,"38.749459,-120.709485",Apple Mountain Golf Resort,Camino,California,US,2024-02-11T05:00:00.000Z
vrCRfa8SQ4,"34.6381759,-83.4586868",Apple Mountain Resort & Golf Club,Clarkesville,Georgia,US,2024-02-11T05:00:00.000Z
UgS4GfEIWJ,"41.0769084,-74.1228894",Apple Ridge Boulevard,Mahwah,New Jersey,US,2024-02-11T05:00:00.000Z
Si3hMQK1qU,"30.54487829,-98.4004121",Apple Rock Golf Course,Horseshoe Bay,Texas,US,2024-02-11T05:00:00.000Z
a1y5TQ6GrD,"46.56309119,-120.626007",Apple Tree Golf Course,Yakima,Washington,US,2024-02-11T05:00:00.000Z
Fdd62m3f6R,"39.40213389,-80.1769027",Apple Valley CC,Fairmont,West Virginia,US,2024-02-11T05:00:00.000Z
XwRnRPvj7G,"34.5277382,-117.226732",Apple Valley Golf,Apple Valley,California,US,2024-02-11T05:00:00.000Z
6WZrCAa7Zx,"35.453469,-82.166716",Apple Valley Golf Course,Lake Lure,North Carolina,US,2024-02-11T05:00:00.000Z
